"YEAR","OFL","ABC","FORECATCH_ACL","REALIZEDBUFFER","TRUEBUFFER_045","DEPL","isless"
2021,206.374,176.862518,177.22,0.857,0.857,0.430036,FALSE
2022,205.48,174.45252,177.214,0.849,0.849,0.431556,FALSE
2023,204.631,172.094671,174.819,0.841,0.841,0.432793,FALSE
2024,203.844,169.802052,172.476,0.833,0.833,0.433794,FALSE
2025,203.132,167.787032,170.197,0.826,0.826,0.434605,FALSE
2026,202.498,165.643364,168.192,0.818,0.818,0.435253,FALSE
2027,201.954,163.58274,166.062,0.81,0.81,0.435786,FALSE
2028,201.507,161.810121,164.014,0.803,0.803,0.436238,FALSE
2029,201.154,159.91743,162.252,0.795,0.795,0.436623,FALSE
2030,200.901,158.309988,160.371,0.788,0.788,0.436979,FALSE
